mac,temperature1,temperature2,uptime,cpu1,cpu2,cpu3,cpu4,cpu5,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_buffered,mem_cached,mem_free,mem_total,num_ifaces,sanity,health_mem
903cb3bb245d,48,49,1755544,1,3,1,1,1,0.077638,0.05127,0.011231,9318400,26902528,798941184,973131776,1,100,18
903cb3bb245d,48,49,1755605,1,3,1,1,1,0.071778,0.054688,0.011231,9318400,26902528,798765056,973131776,1,100,18
903cb3bb245d,48,49,1755665,1,1,1,1,1,0.024903,0.042969,0.005371,9318400,26902528,799227904,973131776,1,100,18
903cb3bb245d,48,49,1755725,1,2,1,1,1,0.006836,0.03125,0,9318400,26902528,799203328,973131776,1,100,18
903cb3bb245d,48,49,1755785,1,2,1,1,1,0.081056,0.041505,0.005371,9318400,26902528,799059968,973131776,1,100,18
903cb3bb245d,48,49,1755845,1,2,1,1,1,0.107912,0.060548,0.011231,9318400,26902528,798863360,973131776,1,100,18
903cb3bb245d,48,49,1755905,1,2,1,1,1,0.038087,0.047852,0.005371,9318400,26902528,799236096,973131776,1,100,18
903cb3bb245d,48,49,1755965,1,1,1,1,1,0.012207,0.036133,0,9318400,26902528,799236096,973131776,1,100,18
903cb3bb245d,48,49,1756025,1,1,1,1,1,0.00293,0.026856,0,9318400,26902528,799539200,973131776,1,100,18
903cb3bb245d,48,49,1756085,1,2,1,1,1,0,0.020996,0,9318400,26902528,799490048,973131776,1,100,18
903cb3bb245d,48,49,1756145,1,2,1,1,1,0,0.015137,0,9318400,26902528,799744000,973131776,1,100,18
903cb3bb245d,48,49,1756205,1,2,1,1,1,0,0.009277,0,9318400,26902528,799608832,973131776,1,100,18
903cb3bb245d,48,49,1756265,1,2,1,1,1,0.141115,0.03711,0.010254,9318400,26902528,799649792,973131776,1,100,18
903cb3bb245d,48,49,1756325,1,1,1,1,1,0.050294,0.027344,0.004395,9318400,26902528,799371264,973131776,1,100,18
903cb3bb245d,48,49,1756386,1,1,1,1,1,0.016602,0.021485,0,9318400,26902528,799268864,973131776,1,100,18
903cb3bb245d,48,48,1756446,1,2,1,1,1,0.004395,0.015625,0,9318400,26902528,799522816,973131776,1,100,18
903cb3bb245d,48,49,1756506,1,2,1,1,1,0,0.009766,0,9318400,26902528,799268864,973131776,1,100,18
903cb3bb245d,48,49,1756566,1,2,1,1,1,0,0.003906,0,9318400,26902528,799506432,973131776,1,100,18
903cb3bb245d,48,49,1756626,1,2,1,1,1,0,0,0,9318400,26902528,799649792,973131776,1,100,18
903cb3bb245d,48,49,1756686,1,1,1,1,1,0.066896,0.015625,0.004395,9318400,26902528,799092736,973131776,1,100,18
